file,line,type,field,id,priority
stop_times,1631,RangeError,,,LOW
stops,502,SuspectStopLocationError,stop_id,SND,MEDIUM
stop_times,1676,RangeError,,,LOW
stop_times,1591,RangeError,,,LOW
stops,303,SuspectStopLocationError,stop_id,MAL,MEDIUM
stop_times,1673,RangeError,,,LOW
stop_times,1677,RangeError,,,LOW
stop_times,1588,RangeError,,,LOW
stop_times,1674,RangeError,,,LOW
stops,454,SuspectStopLocationError,stop_id,RUG,MEDIUM
stop_times,1590,RangeError,,,LOW
stop_times,1632,RangeError,,,LOW
stop_times,1631,RangeError,,,LOW
stop_times,1589,RangeError,,,LOW
stop_times,1632,RangeError,,,LOW
stops,81,SuspectStopLocationError,stop_id,CMO,MEDIUM
stops,472,SuspectStopLocationError,stop_id,SBY,MEDIUM
stop_times,1633,RangeError,,,LOW
stops,273,SuspectStopLocationError,stop_id,LEG,MEDIUM
stop_times,1589,RangeError,,,LOW
stop_times,1588,RangeError,,,LOW
stop_times,1629,RangeError,,,LOW
stop_times,1676,RangeError,,,LOW
stop_times,1675,RangeError,,,LOW
stop_times,1673,RangeError,,,LOW
stops,181,SuspectStopLocationError,stop_id,GGW,MEDIUM
stop_times,1634,RangeError,,,LOW
stop_times,1587,RangeError,,,LOW
stop_times,1630,RangeError,,,LOW
stop_times,1591,RangeError,,,LOW
stops,522,SuspectStopLocationError,stop_id,STN,MEDIUM
stops,583,SuspectStopLocationError,stop_id,WMH,MEDIUM
stop_times,1587,RangeError,,,LOW
stop_times,1630,RangeError,,,LOW
stop_times,1675,RangeError,,,LOW
stops,588,SuspectStopLocationError,stop_id,WNN,MEDIUM
stop_times,1674,RangeError,,,LOW
stop_times,1633,RangeError,,,LOW
stop_times,1634,RangeError,,,LOW
stops,192,SuspectStopLocationError,stop_id,GRI,MEDIUM
stop_times,1590,RangeError,,,LOW
stops,96,SuspectStopLocationError,stop_id,CUT,MEDIUM
stop_times,1677,RangeError,,,LOW
stops,141,SuspectStopLocationError,stop_id,ESM,MEDIUM
transfers,0,EmptyTableError,,,MEDIUM
stops,14150,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_transfer_corridor_1,MEDIUM
stops,12655,SuspectStopLocationError,stop_id,31034_node_west_terminal_crosswalk_market_st,MEDIUM
stops,14244,SuspectStopLocationError,stop_id,33035_node_platform_stair_market_central_northeast,MEDIUM
stops,12561,SuspectStopLocationError,stop_id,31033_node_fare_gates_unpaid_main_hall,MEDIUM
stops,14279,SuspectStopLocationError,stop_id,33036_node_exitgate_north_east_unpaid,MEDIUM
stops,14094,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_rotogate_sw_unpaid_area,MEDIUM
stops,12578,SuspectStopLocationError,stop_id,31033_node_north_platform_area,MEDIUM
stops,14221,SuspectStopLocationError,stop_id,33035_node_mezzanine_paid_stair_trolley_westbound,MEDIUM
stops,14101,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_sse_unpaid_area,MEDIUM
stops,13997,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_ne_unpaid_area,MEDIUM
stops,14289,SuspectStopLocationError,stop_id,33036_node_stair_central_street,MEDIUM
stops,14179,SuspectStopLocationError,stop_id,33035_boarding_westbound_platform_2,MEDIUM
stops,12589,SuspectStopLocationError,stop_id,31033_node_stair_c_mezzanine_unpaid,MEDIUM
stops,14090,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_rotogate_nw_paid_area,MEDIUM
stops,13975,SuspectStopLocationError,stop_id,33034_node_b_platform_north_end_t_stair_landing_sb,MEDIUM
stops,12528,SuspectStopLocationError,stop_id,31033_boarding_track_2_boarding_south_side,MEDIUM
stops,12590,SuspectStopLocationError,stop_id,31033_node_stair_c_street,MEDIUM
stops,14247,SuspectStopLocationError,stop_id,33035_node_platform_stair_market_southwest,MEDIUM
stops,12626,SuspectStopLocationError,stop_id,31034_node_l1_paid_stairs_bottom,MEDIUM
stops,14088,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_rotogate_ne_paid_area,MEDIUM
stops,14256,SuspectStopLocationError,stop_id,33036_boarding_track_1_position_5,MEDIUM
stops,13945,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_paid_stair_to_sb_b,MEDIUM
stops,13983,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_south_stair_d_landing,MEDIUM
stops,12650,SuspectStopLocationError,stop_id,31034_node_stair_4_m1_lobby,MEDIUM
stops,14252,SuspectStopLocationError,stop_id,33036_boarding_track_1_position_1,MEDIUM
stops,14053,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_w4_landing,MEDIUM
stops,12621,SuspectStopLocationError,stop_id,31034_node_l1_fare_gate_paid,MEDIUM
stops,13970,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_south_stair_b_landing,MEDIUM
stops,13927,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_corridor_2_to_l_platform_eb,MEDIUM
stops,14031,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_junction_n_unpaid_area,MEDIUM
stops,13942,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_paid_stair_to_nb_c,MEDIUM
stops,14064,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_faregate_se_unpaid_area,MEDIUM
stops,13930,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_e_paid_area,MEDIUM
stops,14129,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_transfer_corridor_2,MEDIUM
stops,14240,SuspectStopLocationError,stop_id,33035_node_platform_elevator_market_central_southwest,MEDIUM
stops,12584,SuspectStopLocationError,stop_id,31033_node_satellite_headhouse_mezzanine,MEDIUM
stops,12622,SuspectStopLocationError,stop_id,31034_node_l1_fare_gate_unpaid,MEDIUM
stops,13996,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_ne_paid_area,MEDIUM
stops,14191,SuspectStopLocationError,stop_id,33035_node_31st_street_northeast_elevator_mezzanine,MEDIUM
stops,13968,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_north_stair_d_landing,MEDIUM
stops,14213,SuspectStopLocationError,stop_id,33035_node_mezzanine_paid_market_central_southwest,MEDIUM
stops,12551,SuspectStopLocationError,stop_id,31033_node_escalator_2a_street,MEDIUM
stops,14194,SuspectStopLocationError,stop_id,33035_node_31st_street_southeast_stair_mezzanine,MEDIUM
stops,14120,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_e3_landing,MEDIUM
stops,14227,SuspectStopLocationError,stop_id,33035_node_mezzanine_rotogate_market_northeast_paid,MEDIUM
stops,12582,SuspectStopLocationError,stop_id,31033_node_satellite_headhouse_island_near_bridge_street,MEDIUM
stops,14024,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_rotogate_ne_unpaid,MEDIUM
stops,14042,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_lower_ramp_s_unpaid_area,MEDIUM
stops,14257,SuspectStopLocationError,stop_id,33036_boarding_track_1_position_6,MEDIUM
stops,13978,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_north_stair_c_landing,MEDIUM
stops,14078,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_nc_unpaid_area,MEDIUM
stops,13903,SuspectStopLocationError,stop_id,33034_boarding_b_sb_3,MEDIUM
stops,13976,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_north_stair_a_landing,MEDIUM
stops,12605,SuspectStopLocationError,stop_id,2024_boarding_north_terminal,MEDIUM
stops,14132,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_16th_market_exit_corridor_stair_paid,MEDIUM
stops,12619,SuspectStopLocationError,stop_id,31034_node_elevator_m1_lobby,MEDIUM
stops,13929,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_corridor_4_to_l_platform_wb,MEDIUM
stops,12653,SuspectStopLocationError,stop_id,31034_node_west_concourse,MEDIUM
stops,12645,SuspectStopLocationError,stop_id,31034_node_north_hall_south,MEDIUM
stops,12615,SuspectStopLocationError,stop_id,31034_node_curvy_ramp_landing,MEDIUM
stops,14141,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_corridor_3_to_b_mezzanine,MEDIUM
stops,12591,SuspectStopLocationError,stop_id,31033_node_stair_d_platform,MEDIUM
stops,12573,SuspectStopLocationError,stop_id,31033_node_near_stair_c_escalator_2_and_elevator_3,MEDIUM
stops,14057,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_e2_landing,MEDIUM
stops,14284,SuspectStopLocationError,stop_id,33036_node_faregate_north_east_paid,MEDIUM
stops,14026,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_rotogate_se_unpaid,MEDIUM
stops,13932,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_faregate_unpaid_area,MEDIUM
stops,14095,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_rotogate_w_unpaid_area,MEDIUM
stops,14254,SuspectStopLocationError,stop_id,33036_boarding_track_1_position_3,MEDIUM
stops,14204,SuspectStopLocationError,stop_id,33035_node_mezzanine_faregate_market_central_southwest_paid,MEDIUM
stops,12543,SuspectStopLocationError,stop_id,31033_node_elevator_3_mezzanine_unpaid,MEDIUM
stops,12631,SuspectStopLocationError,stop_id,31034_node_m1_fare_gate_unpaid,MEDIUM
stops,14198,SuspectStopLocationError,stop_id,33035_node_mezzanine_30th_street_northwest_escalator_north,MEDIUM
stops,14021,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_faregate_e_paid,MEDIUM
stops,14028,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_dilworth_plaza_se_stair_unpaid_area,MEDIUM
stops,13955,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_stair_to_nb_b,MEDIUM
stops,13956,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_paid_stair_to_sb_a,MEDIUM
