"site","scenario","n_origins_tested","n_origins_reachable","median_total_time","median_access_time","median_wait_time","median_ride_time","median_transfer_time","median_egress_time","median_transfers","median_agencies","median_pct_hours_reachable","pct_flipping","pct_origins_reachable","n_le30","n_30_60","n_gt60","n_origins_fastest","analysis_date","service_window"
"BrandyWine_ASC","primary",5000,14,27.25,9.65,1.6,9.25,0,6.7,0,1,0,0.002,0.0028,10,4,0,14,"2026-08-20","2026-08-16 - 2026-08-22"
"BrandyWine_ASC","slow_walk",5000,10,28.65,10.6,1.35,7.2,0,8.1,0,1,0,0.0012,0.002,6,4,0,10,"2026-08-20","2026-08-16 - 2026-08-22"
"BucksCounty_ASC","primary",5000,1,9,0,0,0,0,0,0,0,0,0,2e-04,1,0,0,1,"2026-08-20","2026-08-16 - 2026-08-22"
"BucksCounty_ASC","slow_walk",5000,1,10,0,0,0,0,0,0,0,0,0,2e-04,1,0,0,1,"2026-08-20","2026-08-16 - 2026-08-22"
"CHOP_KOPH","primary",5000,117,55.5,5.95,7.1,32.75,0.65,3.4,1,1,0,0.0214,0.0234,15,85,17,58,"2026-08-20","2026-08-16 - 2026-08-22"
"CHOP_KOPH","slow_walk",5000,60,52.7,6.8,7.8,26.375,0,4.1,1,1,0,0.0106,0.012,6,51,3,40,"2026-08-20","2026-08-16 - 2026-08-22"
"CHOP_PHL","primary",5000,1639,51,5.7,6.9,29.9,2.2,2.3,2,1,0,0.147,0.3278,162,989,488,1616,"2026-08-20","2026-08-16 - 2026-08-22"
"CHOP_PHL","slow_walk",5000,1513,51.85,5.8,7.1,30.3,2.55,2.8,2,1,0,0.132,0.3026,128,894,491,1497,"2026-08-20","2026-08-16 - 2026-08-22"
"Voorhees_ASC","primary",5000,16,44.35,6.5,3.35,27.75,1.5,5.4,1,1,0,0.0032,0.0032,1,9,6,13,"2026-08-20","2026-08-16 - 2026-08-22"
"Voorhees_ASC","slow_walk",5000,11,43.6,7.8,2.7,23.5,1.9,6.5,1,1,0,0.0022,0.0022,0,7,4,10,"2026-08-20","2026-08-16 - 2026-08-22"
